period,gr_to_gr,se1,se2,gr_to_gn,se3,se4,gr_to_u,se5,se6,gr_to_e,se7,se8,gr_to_psi,se9,se10,gn_to_gr,se11,se12,gn_to_gn,se13,se14,gn_to_u,se15,se16,gn_to_e,se17,se18,gn_to_psi,se19,se20,u_to_gr,se21,se22,u_to_gn,se23,se24,u_to_u,se25,se26,u_to_e,se27,se28,u_to_psi,se29,se30,e_to_gr,se31,se32,e_to_gn,se33,se34,e_to_u,se35,se36,e_to_e,se37,se38,e_to_psi,se39,se40,psi_to_gr,se41,se42,psi_to_gn,se43,se44,psi_to_u,se45,se46,psi_to_e,se47,se48,psi_to_psi,se49,se50
21,-1.565144,0.924756,-4.055044,1.281251,4.152151,-1.589649,0.375011,2.593551,-1.843529,-0.080183,2.436697,-2.597063,0.505653,3.532273,-2.520967,-1.368026,-0.187186,-2.548866,0.466106,1.784486,-0.852274,1.168081,2.290441,0.045721,-0.101125,1.064495,-1.266745,-0.483505,1.044675,-2.011685,-0.257298,0.155322,-0.669918,0.027432,0.498772,-0.443908,0.176035,0.535695,-0.183625,-0.266681,0.143199,-0.676561,0.057015,0.570575,-0.456545,-0.237138,-0.031058,-0.443218,0.078956,0.312176,-0.154264,0.127785,0.326545,-0.070975,-0.025458,0.190642,-0.241558,0.013366,0.277146,-0.250414,0.018348,0.276648,-0.239952,0.057694,0.345214,-0.229826,0.164827,0.409247,-0.079593,0.000296,0.276416,-0.275824,-0.142277,0.183543,-0.468097
22,-1.204388,1.263952,-3.672728,1.161178,3.927398,-1.605042,-0.254938,1.875402,-2.385278,0.059516,2.489576,-2.370544,0.463736,3.337236,-2.409764,-1.310124,-0.141364,-2.478884,0.599259,1.903299,-0.704781,0.824622,1.974782,-0.325538,-0.144938,1.004982,-1.294858,-0.181947,1.336973,-1.700867,-0.246266,0.156094,-0.648626,0.040586,0.498606,-0.417434,0.064888,0.421288,-0.291512,-0.125023,0.274637,-0.524683,0.040614,0.540634,-0.459406,-0.229489,-0.028009,-0.430969,0.074525,0.304625,-0.155575,0.070429,0.271709,-0.130851,0.021524,0.234144,-0.191096,0.025577,0.287817,-0.236663,0.004666,0.256366,-0.247034,0.050054,0.318634,-0.218526,0.085477,0.322137,-0.151183,-0.116465,0.140595,-0.373525,-0.054546,0.255374,-0.364466
23,-0.68734,1.75482,-3.1295,0.946399,3.565139,-1.672341,-0.368302,1.655018,-2.391622,0.002101,2.303261,-2.299059,0.493299,3.214459,-2.227861,-1.209739,-0.059399,-2.360079,0.699792,1.986672,-0.587088,0.461206,1.636066,-0.713654,-0.167284,0.966536,-1.301104,0.225982,1.724622,-1.272658,-0.179572,0.212028,-0.571172,0.092652,0.533832,-0.348528,0.019737,0.369177,-0.329703,-0.154193,0.237187,-0.545573,0.069441,0.554861,-0.415979,-0.197298,-0.000418,-0.394178,0.095287,0.318787,-0.128213,0.020267,0.222227,-0.181693,0.022884,0.230284,-0.184516,0.067564,0.325084,-0.189956,-0.044536,0.201544,-0.290616,-0.020418,0.238302,-0.279138,0.0105,0.23702,-0.21602,-0.013863,0.230377,-0.258103,0.016332,0.315712,-0.283048
24,-0.469506,1.924954,-2.863966,0.570425,3.005885,-1.865035,-0.337986,1.590234,-2.266206,0.02274,2.1547,-2.10922,0.32926,2.892,-2.23348,-1.108377,0.023643,-2.240397,0.621976,1.893916,-0.649964,0.175054,1.362474,-1.012366,-0.202331,0.925949,-1.330611,0.496683,1.971023,-0.977657,-0.183424,0.200076,-0.566924,0.097078,0.522558,-0.328402,-0.057527,0.289393,-0.404447,-0.20685,0.17681,-0.59051,0.164791,0.636691,-0.307109,-0.186051,0.008809,-0.380911,0.099176,0.318356,-0.120004,-0.010139,0.192121,-0.212399,0.004641,0.210901,-0.201619,0.098489,0.350269,-0.153291,-0.075354,0.164486,-0.315194,-0.022633,0.224487,-0.269753,0.045485,0.269765,-0.178795,0.006872,0.241512,-0.227768,-0.056706,0.234134,-0.347546
25,-0.285986,2.047434,-2.619406,0.235676,2.461216,-1.989864,-0.245435,1.617245,-2.108115,0.068165,2.016145,-1.879815,0.03381,2.46815,-2.40053,-0.985796,0.129744,-2.101336,0.544153,1.792053,-0.703747,-0.098245,1.082575,-1.279065,-0.21727,0.90089,-1.33543,0.638391,2.083451,-0.806669,-0.162468,0.212052,-0.536988,0.040819,0.444699,-0.363061,-0.054303,0.284977,-0.393583,-0.188122,0.188218,-0.564462,0.219219,0.671519,-0.233081,-0.175383,0.017457,-0.368223,0.073156,0.285456,-0.139144,-0.012142,0.186278,-0.210562,0.006715,0.211415,-0.197985,0.120237,0.362977,-0.122503,-0.109556,0.123964,-0.343076,0.014513,0.248533,-0.219507,-0.043682,0.178618,-0.265982,-0.052799,0.173801,-0.279399,-0.085884,0.203816,-0.375584
26,0.137898,2.394898,-2.119102,-0.031495,1.991525,-2.054515,-0.021141,1.802499,-1.844781,-0.077497,1.690123,-1.845117,-0.493207,1.851293,-2.837707,-0.768185,0.330535,-1.866905,0.427643,1.632443,-0.777157,-0.292035,0.861345,-1.445415,-0.17124,0.92334,-1.26582,0.657933,2.070673,-0.754807,-0.124485,0.239075,-0.488045,-0.011325,0.367215,-0.389865,-0.073217,0.254083,-0.400517,-0.165822,0.197478,-0.529122,0.164223,0.597183,-0.268737,-0.154094,0.036586,-0.344774,0.060801,0.265781,-0.144179,-0.044128,0.148832,-0.237088,-0.014585,0.183035,-0.212205,0.13906,0.37552,-0.0974,-0.077742,0.147218,-0.302702,0.060887,0.285407,-0.163633,-0.073047,0.142733,-0.288827,-0.065408,0.154192,-0.285008,0.044756,0.327996,-0.238484
27,0.41477,2.59531,-1.76577,-0.112145,1.726735,-1.951025,0.071459,1.869539,-1.726621,-0.128901,1.446559,-1.704361,-0.783701,1.482739,-3.050141,-0.557407,0.527953,-1.642767,0.341532,1.490752,-0.807688,-0.428755,0.686865,-1.544375,-0.217428,0.831692,-1.266548,0.602755,1.971235,-0.765725,-0.060261,0.292899,-0.413421,-0.034038,0.317722,-0.385798,-0.06404,0.25288,-0.38096,-0.122009,0.223311,-0.467329,0.051965,0.459765,-0.355835,-0.128314,0.060846,-0.317474,0.032375,0.226855,-0.162105,-0.059147,0.125973,-0.244267,0.004726,0.191866,-0.182414,0.106592,0.334312,-0.121128,-0.113088,0.109232,-0.335408,0.01764,0.23808,-0.2028,-0.081164,0.129236,-0.291564,-0.044953,0.164887,-0.254793,0.079389,0.350229,-0.191451
28,0.667624,2.781784,-1.446536,-0.223298,1.469282,-1.915878,0.111623,1.876683,-1.653437,-0.088296,1.336964,-1.513556,-0.85557,1.34415,-3.05529,-0.308877,0.757583,-1.375337,0.195308,1.276288,-0.885672,-0.419477,0.649563,-1.488517,-0.192818,0.789842,-1.175478,0.491666,1.798466,-0.815134,0.013208,0.352048,-0.325632,-0.040898,0.286622,-0.368418,-0.036762,0.269258,-0.342782,-0.098357,0.231323,-0.428037,-0.026631,0.360109,-0.413371,-0.086761,0.098919,-0.272441,0.016459,0.197499,-0.164581,-0.049991,0.126009,-0.225991,0.015184,0.191644,-0.161276,0.060115,0.276275,-0.156045,-0.176945,0.043195,-0.397085,-0.01057,0.20445,-0.22559,-0.099035,0.103105,-0.301175,-0.045189,0.160071,-0.250449,0.070113,0.334893,-0.194667
29,0.881171,2.940671,-1.178329,-0.367656,1.208644,-1.943956,0.166057,1.880977,-1.548863,-0.21146,1.11066,-1.53358,-0.770422,1.342018,-2.882862,-0.093129,0.947631,-1.133889,0.049161,1.064321,-0.965999,-0.351702,0.678338,-1.381742,-0.151918,0.760922,-1.064758,0.353973,1.606413,-0.898467,0.067497,0.391497,-0.256503,-0.048738,0.258202,-0.355678,0.057068,0.352368,-0.238232,-0.121983,0.193337,-0.437303,-0.064915,0.307405,-0.437235,-0.037584,0.143456,-0.218624,0.008673,0.177853,-0.160507,-0.018295,0.149925,-0.186515,0.020864,0.189404,-0.147676,0.023308,0.231528,-0.184912,-0.137847,0.079493,-0.355187,-0.034891,0.169509,-0.239291,-0.120461,0.070679,-0.311601,0.014694,0.217354,-0.187966,0.01265,0.26647,-0.24117
30,0.977966,3.005106,-1.049174,-0.559927,0.949913,-2.069767,0.372134,2.040254,-1.295986,-0.196373,1.067967,-1.460713,-0.866522,1.143918,-2.876962,0.080303,1.086643,-0.926037,-0.104532,0.840388,-1.049452,-0.171886,0.830774,-1.174546,-0.152969,0.689471,-0.995409,0.110622,1.320682,-1.099438,0.095837,0.408917,-0.217243,-0.072831,0.216629,-0.362291,0.124378,0.413198,-0.164442,-0.175185,0.129095,-0.479465,-0.084905,0.272575,-0.442385,-0.010085,0.166395,-0.186565,-0.003295,0.154025,-0.160615,0.026011,0.189271,-0.137249,0.01507,0.17309,-0.14295,-0.006226,0.195114,-0.207566,-0.137125,0.076835,-0.351085,-0.011042,0.182878,-0.204962,-0.067527,0.117693,-0.252747,0.059849,0.254869,-0.135171,-0.028171,0.209829,-0.266171
