period,u_to_u,se1,se2,u_to_g,se3,se4,u_to_e,se5,se6,u_to_psi,se7,se8,g_to_u,se9,se10,g_to_g,se11,se12,g_to_e,se13,se14,g_to_psi,se15,se16,e_to_u,se17,se18,e_to_g,se19,se20,e_to_e,se21,se22,e_to_psi,se23,se24,psi_to_u,se25,se26,psi_to_g,se27,se28,psi_to_e,se29,se30,psi_to_psi,se31,se32
22,0.12254,0.28752,-0.04244,0.019309,0.196169,-0.157551,-0.114209,0.083931,-0.312349,-0.001453,0.167407,-0.170313,0.458055,1.103715,-0.187605,0.335841,1.184761,-0.513079,0.097884,0.650324,-0.454556,0.074206,0.639826,-0.491414,0.007762,0.092562,-0.077038,-0.012356,0.098224,-0.122936,0.068137,0.148837,-0.012563,0.025521,0.096481,-0.045439,-0.033808,0.054872,-0.122488,-0.074803,0.028517,-0.178123,0.02002,0.1295,-0.08946,0.051111,0.135831,-0.033609
23,0.127959,0.283379,-0.027461,0.044455,0.208155,-0.119245,-0.122526,0.069554,-0.314606,-0.014873,0.141707,-0.171453,0.462381,1.073261,-0.148499,0.429303,1.224983,-0.366377,0.009301,0.521501,-0.502899,-0.011334,0.505906,-0.528574,0.018466,0.100306,-0.063374,0.007883,0.113603,-0.097837,0.058291,0.133811,-0.017229,0.016176,0.083316,-0.050964,-0.017972,0.064368,-0.100312,-0.058178,0.039442,-0.155798,0.022615,0.126855,-0.081625,0.046097,0.120677,-0.028483
24,0.127127,0.272827,-0.018573,0.061215,0.212235,-0.089805,-0.130379,0.056621,-0.317379,-0.02608,0.11954,-0.1717,0.434907,1.005067,-0.135253,0.474123,1.214143,-0.265897,-0.067897,0.408403,-0.544197,-0.077313,0.390627,-0.545253,0.024936,0.103176,-0.053304,0.023548,0.123508,-0.076412,0.048045,0.118605,-0.022515,0.007501,0.070801,-0.055799,-0.003526,0.073434,-0.080486,-0.040344,0.052376,-0.133064,0.022289,0.121629,-0.077051,0.03943,0.10569,-0.02683
25,0.121152,0.257052,-0.014748,0.070047,0.209467,-0.069373,-0.136831,0.046069,-0.319731,-0.034594,0.101386,-0.170574,0.38371,0.90911,-0.14169,0.476509,1.162609,-0.209591,-0.130094,0.316086,-0.576274,-0.123215,0.297245,-0.543675,0.027575,0.101455,-0.046305,0.034408,0.127948,-0.059132,0.038131,0.104091,-0.027829,0.0000192,0.0592792,-0.0592408,0.008728,0.081108,-0.063652,-0.022892,0.065308,-0.111092,0.019655,0.114315,-0.075005,0.031805,0.091345,-0.027735
26,0.111301,0.237641,-0.015039,0.071886,0.201346,-0.057574,-0.141259,0.038421,-0.320939,-0.040232,0.087508,-0.167972,0.316987,0.796607,-0.162633,0.444469,1.081749,-0.192811,-0.175552,0.246648,-0.597752,-0.14997,0.22737,-0.52731,0.026981,0.095781,-0.041819,0.040629,0.127449,-0.046191,0.029125,0.090965,-0.032715,-0.005944,0.049096,-0.060984,0.018319,0.086639,-0.050001,-0.007032,0.076668,-0.090732,0.015404,0.105604,-0.074796,0.023849,0.077869,-0.030171
27,0.09888,0.21638,-0.01862,0.067984,0.189504,-0.053536,-0.143325,0.033795,-0.320445,-0.043062,0.077838,-0.163962,0.242498,0.678958,-0.193962,0.386973,0.982493,-0.208547,-0.204038,0.199582,-0.607658,-0.15966,0.18082,-0.50014,0.023862,0.087142,-0.039418,0.042676,0.122856,-0.037504,0.02142,0.07974,-0.0369,-0.01024,0.04054,-0.06102,0.025042,0.089502,-0.039418,0.006371,0.085391,-0.072649,0.010181,0.096061,-0.075699,0.016115,0.065395,-0.033165
28,0.085133,0.195053,-0.024787,0.059765,0.175385,-0.055855,-0.142947,0.032013,-0.317907,-0.043354,0.071986,-0.158694,0.167035,0.565995,-0.231925,0.313099,0.873939,-0.247741,-0.216612,0.172168,-0.605392,-0.155158,0.155402,-0.465718,0.018972,0.076612,-0.038668,0.041223,0.115203,-0.032757,0.015247,0.070587,-0.040093,-0.012873,0.033747,-0.059493,0.028955,0.089535,-0.031625,0.016801,0.090881,-0.057279,0.004584,0.086344,-0.077176,0.009047,0.054087,-0.035993
29,0.071163,0.175063,-0.032737,0.048683,0.160103,-0.062737,-0.140254,0.032666,-0.313174,-0.041514,0.069286,-0.152314,0.096139,0.465059,-0.272781,0.231331,0.762991,-0.300329,-0.215296,0.160344,-0.590936,-0.139749,0.147151,-0.426649,0.013043,0.065303,-0.039217,0.037067,0.105467,-0.031333,0.010681,0.063501,-0.042139,-0.01397,0.02873,-0.05667,0.030308,0.086888,-0.026272,0.02407,0.09307,-0.04493,-0.000878,0.076962,-0.078718,0.002964,0.044044,-0.038116
30,0.057879,0.157399,-0.041641,0.036111,0.144351,-0.072129,-0.135536,0.035204,-0.306276,-0.038028,0.068972,-0.145028,0.03395,0.38023,-0.31233,0.149077,0.654557,-0.356403,-0.202717,0.159763,-0.565197,-0.116836,0.151084,-0.384756,0.006736,0.054196,-0.040724,0.03104,0.09454,-0.03246,0.00767,0.05831,-0.04297,-0.013746,0.025374,-0.052866,0.029483,0.081943,-0.022977,0.028253,0.092193,-0.035687,-0.005813,0.068367,-0.079993,-0.001937,0.035443,-0.039317
31,0.04597,0.14253,-0.05059,0.023262,0.128682,-0.082158,-0.129186,0.039074,-0.297446,-0.033413,0.070187,-0.137013,-0.016833,0.312507,-0.346173,0.07234,0.55224,-0.40756,-0.181812,0.166268,-0.529892,-0.089672,0.162008,-0.341352,0.00061,0.04405,-0.04283,0.023949,0.083129,-0.035231,0.006063,0.054663,-0.042537,-0.012472,0.023428,-0.048372,0.026954,0.075294,-0.021386,0.029638,0.088738,-0.029462,-0.00994,0.06082,-0.0807,-0.005575,0.028365,-0.039515
32,0.035894,0.130474,-0.058686,0.011128,0.113528,-0.091272,-0.121655,0.043725,-0.287035,-0.028171,0.072189,-0.128531,-0.054857,0.260663,-0.370377,0.005553,0.458793,-0.447687,-0.155555,0.176465,-0.487575,-0.061154,0.175426,-0.297734,-0.004903,0.035297,-0.045103,0.016516,0.071776,-0.038744,0.00564,0.0522,-0.04092,-0.010444,0.022576,-0.043464,0.023221,0.067621,-0.021179,0.028662,0.083322,-0.025998,-0.013093,0.054507,-0.080693,-0.007969,0.022871,-0.038809
